institution_id,source_profile,target_profile,candidate_id,rank,l0,weighted_l1,total_cost,plausibility_distance,plausibility_threshold,edit_signature_json,candidate__willingness_constraint_score,candidate__digital_usage_constraint_score,candidate__training_deficit_score,candidate__device_constraint,candidate__digital_tool_variety_constraint,candidate__internet_stability_constraint,candidate__staffing_constraint_score,candidate__time_constraint_score,candidate__administrative_disorganization_constraint,candidate__recording_system_constraint,candidate__system_change_resistance_constraint,candidate__admin_time_load_constraint,candidate__resource_constraint_score
SYN_S6_NO_CLUSTER_NULL_R002_004,2,1,SYN_S6_NO_CLUSTER_NULL_R002_004__CF01,1,3,2.622644730767032,3.372644730767032,0.7668741911129582,0.8503773563426865,"[""willingness_constraint_score:DOWN"", ""administrative_disorganization_constraint:DOWN"", ""admin_time_load_constraint:DOWN""]",0.20362036900601693,0.07077027659656747,0.46680178137027634,0.6735133347822109,0.607676773494658,0.5945033100694339,0.5394660204511661,0.6305717632306485,0.13335611019869686,0.7100100633527278,0.660790668590636,0.37463599413654397,0.45987120308774987
SYN_S6_NO_CLUSTER_NULL_R002_004,2,1,SYN_S6_NO_CLUSTER_NULL_R002_004__CF02,2,3,2.643567073165757,3.393567073165757,0.7341633570751611,0.8503773563426865,"[""training_deficit_score:DOWN"", ""time_constraint_score:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5452310734125775,0.07077027659656747,0.2842247260177817,0.6735133347822109,0.607676773494658,0.5945033100694339,0.5394660204511661,0.2325590993844993,0.39343724971797184,0.7100100633527278,0.660790668590636,0.44552753426661945,0.45987120308774987
SYN_S6_NO_CLUSTER_NULL_R002_004,2,1,SYN_S6_NO_CLUSTER_NULL_R002_004__CF03,3,3,2.648235000232508,3.398235000232508,0.7229707468551477,0.8503773563426865,"[""time_constraint_score:DOWN"", ""administrative_disorganization_constraint:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5452310734125775,0.07077027659656747,0.46680178137027634,0.6735133347822109,0.607676773494658,0.5945033100694339,0.5394660204511661,0.2602035481238762,0.21497519984835312,0.7100100633527278,0.660790668590636,0.37463599413654397,0.45987120308774987
SYN_S6_NO_CLUSTER_NULL_R002_004,2,1,SYN_S6_NO_CLUSTER_NULL_R002_004__CF04,4,3,2.88508992519892,3.63508992519892,0.6826593485321988,0.8503773563426865,"[""device_constraint:DOWN"", ""time_constraint_score:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5452310734125775,0.07077027659656747,0.46680178137027634,0.47694029035022634,0.607676773494658,0.5945033100694339,0.5394660204511661,0.2602035481238762,0.39343724971797184,0.7100100633527278,0.660790668590636,0.37463599413654397,0.45987120308774987
SYN_S6_NO_CLUSTER_NULL_R002_004,2,1,SYN_S6_NO_CLUSTER_NULL_R002_004__CF05,5,4,2.8127137544064937,3.8127137544064937,0.6787032751962423,0.8503773563426865,"[""willingness_constraint_score:DOWN"", ""device_constraint:DOWN"", ""time_constraint_score:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5007905635253487,0.07077027659656747,0.46680178137027634,0.47694029035022634,0.607676773494658,0.5945033100694339,0.5394660204511661,0.2602035481238762,0.39343724971797184,0.7100100633527278,0.660790668590636,0.44552753426661945,0.45987120308774987
SYN_S6_NO_CLUSTER_NULL_R002_007,2,1,SYN_S6_NO_CLUSTER_NULL_R002_007__CF01,1,3,3.0902075823932087,3.8402075823932087,0.6842125604792522,0.8503773563426865,"[""device_constraint:DOWN"", ""time_constraint_score:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5764256309573283,0.43029593349708867,0.5045895145285874,0.5285634487883502,0.29748159002157337,0.4749290248259526,0.7447310399930553,0.5136440867325867,0.5277157381772973,0.5435601352732327,0.4592126857583233,0.32312371725720096,0.5917032659692508
SYN_S6_NO_CLUSTER_NULL_R002_007,2,1,SYN_S6_NO_CLUSTER_NULL_R002_007__CF02,2,4,2.9909750845361183,3.9909750845361183,0.6726555627001377,0.8503773563426865,"[""training_deficit_score:DOWN"", ""time_constraint_score:DOWN"", ""administrative_disorganization_constraint:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5764256309573283,0.43029593349708867,0.4160318866000161,0.6446364094800556,0.29748159002157337,0.4749290248259526,0.7447310399930553,0.5611011457538504,0.45554043594813143,0.5435601352732327,0.4592126857583233,0.32312371725720096,0.5917032659692508
SYN_S6_NO_CLUSTER_NULL_R002_007,2,1,SYN_S6_NO_CLUSTER_NULL_R002_007__CF03,3,3,3.30688083432028,4.05688083432028,0.6725490283617571,0.8503773563426865,"[""time_constraint_score:DOWN"", ""system_change_resistance_constraint:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5764256309573283,0.43029593349708867,0.5045895145285874,0.6446364094800556,0.29748159002157337,0.4749290248259526,0.7447310399930553,0.5611011457538504,0.5277157381772973,0.5435601352732327,0.21149577329878386,0.33413783076336473,0.5917032659692508
SYN_S6_NO_CLUSTER_NULL_R002_007,2,1,SYN_S6_NO_CLUSTER_NULL_R002_007__CF04,4,4,3.152335202100323,4.152335202100323,0.6678837700818465,0.8503773563426865,"[""device_constraint:DOWN"", ""time_constraint_score:DOWN"", ""administrative_disorganization_constraint:DOWN"", ""admin_time_load_constraint:DOWN""]",0.5764256309573283,0.43029593349708867,0.5045895145285874,0.5285634487883502,0.29748159002157337,0.4749290248259526,0.7447310399930553,0.5611011457538504,0.43788281609879914,0.5435601352732327,0.4592126857583233,0.33413783076336473,0.5917032659692508
SYN_S6_NO_CLUSTER_NULL_R002_007,2,1,SYN_S6_NO_CLUSTER_NULL_R002_007__CF05,5,3,3.5207201541578765,4.2707201541578765,0.6522642287463134,0.8503773563426865,"[""willingness_constraint_score:DOWN"", ""time_constraint_score:DOWN"", ""admin_time_load_constraint:DOWN""]",0.26879546683826405,0.43029593349708867,0.5045895145285874,0.6446364094800556,0.29748159002157337,0.4749290248259526,0.7447310399930553,0.5136440867325867,0.5277157381772973,0.5435601352732327,0.4592126857583233,0.33413783076336473,0.5917032659692508
