institution_id,latent_profile,true_profile,true_boundary,oracle_reachable,latent_severity
SYN_S4_SEVERITY_CONTINUUM_R000_078,,,False,False,0.0602668009927646
SYN_S4_SEVERITY_CONTINUUM_R000_017,,,False,False,0.3754066861218206
SYN_S4_SEVERITY_CONTINUUM_R000_034,,,False,False,0.20367643080331876
SYN_S4_SEVERITY_CONTINUUM_R000_075,,,False,False,0.5388479048952404
SYN_S4_SEVERITY_CONTINUUM_R000_051,,,False,False,0.8503391369714641
SYN_S4_SEVERITY_CONTINUUM_R000_055,,,False,False,0.186921719072913
SYN_S4_SEVERITY_CONTINUUM_R000_012,,,False,False,0.6026912889888741
SYN_S4_SEVERITY_CONTINUUM_R000_070,,,False,False,0.9510882135704506
SYN_S4_SEVERITY_CONTINUUM_R000_027,,,False,False,0.7226135497019326
SYN_S4_SEVERITY_CONTINUUM_R000_056,,,False,False,0.8764347312605124
SYN_S4_SEVERITY_CONTINUUM_R000_013,,,False,False,0.7761853047894783
SYN_S4_SEVERITY_CONTINUUM_R000_018,,,False,False,0.48260579967370343
SYN_S4_SEVERITY_CONTINUUM_R000_035,,,False,False,0.6023530447463895
SYN_S4_SEVERITY_CONTINUUM_R000_015,,,False,False,0.5219782103030068
SYN_S4_SEVERITY_CONTINUUM_R000_043,,,False,False,0.9227721306693055
SYN_S4_SEVERITY_CONTINUUM_R000_007,,,False,False,0.5999383868203936
SYN_S4_SEVERITY_CONTINUUM_R000_046,,,False,False,0.9921932078360511
SYN_S4_SEVERITY_CONTINUUM_R000_005,,,False,False,0.11608352134365507
SYN_S4_SEVERITY_CONTINUUM_R000_065,,,False,False,0.18632045216093207
SYN_S4_SEVERITY_CONTINUUM_R000_080,,,False,False,0.9294713368877922
SYN_S4_SEVERITY_CONTINUUM_R000_020,,,False,False,0.30003663419929205
SYN_S4_SEVERITY_CONTINUUM_R000_009,,,False,False,0.5775908214834575
SYN_S4_SEVERITY_CONTINUUM_R000_023,,,False,False,0.443689015399085
SYN_S4_SEVERITY_CONTINUUM_R000_045,,,False,False,0.6856633679390826
SYN_S4_SEVERITY_CONTINUUM_R000_025,,,False,False,0.9523770300931951
SYN_S4_SEVERITY_CONTINUUM_R000_024,,,False,False,0.8375247145398683
SYN_S4_SEVERITY_CONTINUUM_R000_048,,,False,False,0.9012775989266457
SYN_S4_SEVERITY_CONTINUUM_R000_003,,,False,False,0.5197470009727277
SYN_S4_SEVERITY_CONTINUUM_R000_022,,,False,False,0.15265320560272344
SYN_S4_SEVERITY_CONTINUUM_R000_053,,,False,False,0.9669940095270729
SYN_S4_SEVERITY_CONTINUUM_R000_071,,,False,False,0.7143329736057702
SYN_S4_SEVERITY_CONTINUUM_R000_032,,,False,False,0.4136568334012283
SYN_S4_SEVERITY_CONTINUUM_R000_014,,,False,False,0.5780332186686234
SYN_S4_SEVERITY_CONTINUUM_R000_057,,,False,False,0.630085097720074
SYN_S4_SEVERITY_CONTINUUM_R000_026,,,False,False,0.9797104214973685
SYN_S4_SEVERITY_CONTINUUM_R000_001,,,False,False,0.12096367651330031
SYN_S4_SEVERITY_CONTINUUM_R000_008,,,False,False,0.7387782984342326
SYN_S4_SEVERITY_CONTINUUM_R000_063,,,False,False,0.22074410504641773
SYN_S4_SEVERITY_CONTINUUM_R000_062,,,False,False,0.6066248405736541
SYN_S4_SEVERITY_CONTINUUM_R000_067,,,False,False,0.13162946903207395
SYN_S4_SEVERITY_CONTINUUM_R000_038,,,False,False,0.7218192188908334
SYN_S4_SEVERITY_CONTINUUM_R000_011,,,False,False,0.8195242336685128
SYN_S4_SEVERITY_CONTINUUM_R000_041,,,False,False,0.7715221070858729
SYN_S4_SEVERITY_CONTINUUM_R000_069,,,False,False,0.5856122411883894
SYN_S4_SEVERITY_CONTINUUM_R000_060,,,False,False,0.6423827387059805
SYN_S4_SEVERITY_CONTINUUM_R000_033,,,False,False,0.9249495063722666
SYN_S4_SEVERITY_CONTINUUM_R000_010,,,False,False,0.9005548146124358
SYN_S4_SEVERITY_CONTINUUM_R000_068,,,False,False,0.6273169208903865
SYN_S4_SEVERITY_CONTINUUM_R000_019,,,False,False,0.6243441953637603
SYN_S4_SEVERITY_CONTINUUM_R000_054,,,False,False,0.030686258397524147
SYN_S4_SEVERITY_CONTINUUM_R000_077,,,False,False,0.9193926514225338
SYN_S4_SEVERITY_CONTINUUM_R000_064,,,False,False,0.6988592459186349
SYN_S4_SEVERITY_CONTINUUM_R000_037,,,False,False,0.45051656463548684
SYN_S4_SEVERITY_CONTINUUM_R000_074,,,False,False,0.3921331690202631
SYN_S4_SEVERITY_CONTINUUM_R000_049,,,False,False,0.010203569684127722
SYN_S4_SEVERITY_CONTINUUM_R000_079,,,False,False,0.5264948942439336
SYN_S4_SEVERITY_CONTINUUM_R000_042,,,False,False,0.5668525138597784
SYN_S4_SEVERITY_CONTINUUM_R000_058,,,False,False,0.25093736802851174
SYN_S4_SEVERITY_CONTINUUM_R000_004,,,False,False,0.7238142321317348
SYN_S4_SEVERITY_CONTINUUM_R000_061,,,False,False,0.5992108560921628
SYN_S4_SEVERITY_CONTINUUM_R000_052,,,False,False,0.6045970676319485
SYN_S4_SEVERITY_CONTINUUM_R000_040,,,False,False,0.7825299164350538
SYN_S4_SEVERITY_CONTINUUM_R000_021,,,False,False,0.5506528863124263
SYN_S4_SEVERITY_CONTINUUM_R000_028,,,False,False,0.966844657636399
SYN_S4_SEVERITY_CONTINUUM_R000_076,,,False,False,0.23985718343172568
SYN_S4_SEVERITY_CONTINUUM_R000_047,,,False,False,0.03712775968901305
SYN_S4_SEVERITY_CONTINUUM_R000_039,,,False,False,0.6946782244893789
SYN_S4_SEVERITY_CONTINUUM_R000_031,,,False,False,0.5078602907824711
SYN_S4_SEVERITY_CONTINUUM_R000_030,,,False,False,0.7145523408534801
SYN_S4_SEVERITY_CONTINUUM_R000_059,,,False,False,0.5498957141156632
SYN_S4_SEVERITY_CONTINUUM_R000_029,,,False,False,0.6142991560932718
SYN_S4_SEVERITY_CONTINUUM_R000_050,,,False,False,0.8325359822563838
SYN_S4_SEVERITY_CONTINUUM_R000_006,,,False,False,0.4813948709758403
SYN_S4_SEVERITY_CONTINUUM_R000_072,,,False,False,0.8295102708712997
SYN_S4_SEVERITY_CONTINUUM_R000_044,,,False,False,0.15114247828182914
SYN_S4_SEVERITY_CONTINUUM_R000_036,,,False,False,0.3986921559995742
SYN_S4_SEVERITY_CONTINUUM_R000_066,,,False,False,0.34975164201533404
SYN_S4_SEVERITY_CONTINUUM_R000_002,,,False,False,0.7476485667985323
SYN_S4_SEVERITY_CONTINUUM_R000_073,,,False,False,0.10663329470460714
SYN_S4_SEVERITY_CONTINUUM_R000_016,,,False,False,0.6494183952956489
