feature,low_friction_mean,high_friction_mean,high_minus_low_difference,standardized_difference,absolute_difference
previous_implementation_constraint,0.0,0.5714285714285714,0.5714285714285714,1.2497618820818477,0.5714285714285714
resource_constraint_score,0.08333333333333333,0.6428571428571429,0.5595238095238095,1.5241673781130203,0.5595238095238095
device_constraint,0.031746031746031744,0.5873015873015873,0.5555555555555556,1.5946703720848316,0.5555555555555556
recording_system_constraint,0.17460317460317462,0.7301587301587301,0.5555555555555555,1.4570844630343283,0.5555555555555555
digital_usage_constraint_score,0.0,0.5238095238095238,0.5238095238095238,1.4987731757590659,0.5238095238095238
OLI,0.1071428571428571,0.6044973544973544,0.4973544973544973,1.7263058314902626,0.4973544973544973
ICI,0.12248677248677241,0.5568783068783068,0.43439153439153433,1.4724173074832934,0.43439153439153433
internet_stability_constraint,0.05952380952380952,0.4642857142857143,0.40476190476190477,1.2580602349112953,0.40476190476190477
implementation_difficulty_constraint,0.32142857142857145,0.7236842105263158,0.40225563909774437,1.3686741135732616,0.40225563909774437
digital_tool_variety_constraint,0.2761904761904762,0.6190476190476192,0.34285714285714297,1.3550651402477827,0.34285714285714297
OCI,0.33432539682539675,0.6666666666666666,0.3323412698412699,1.402412329077588,0.3323412698412699
administrative_disorganization_constraint,0.27380952380952384,0.5952380952380952,0.3214285714285714,1.04453742112776,0.3214285714285714
admin_time_load_constraint,0.4126984126984127,0.6984126984126984,0.2857142857142857,0.8151477082802391,0.2857142857142857
time_constraint_score,0.35714285714285715,0.6309523809523809,0.2738095238095238,0.8700082021193092,0.2738095238095238
pilot_openness_constraint,0.19047619047619047,0.4523809523809524,0.2619047619047619,0.6897875313055483,0.2619047619047619
HCARI,0.2534013605442177,0.4960317460317461,0.2426303854875284,1.3175629034574736,0.2426303854875284
staffing_constraint_score,0.35714285714285715,0.5833333333333334,0.22619047619047622,0.8002779638690302,0.22619047619047622
willingness_constraint_score,0.2261904761904762,0.4523809523809524,0.2261904761904762,0.715043555346424,0.2261904761904762
system_change_resistance_constraint,0.47619047619047616,0.6428571428571429,0.16666666666666674,0.572385858295133,0.16666666666666674
perceived_utility_constraint,0.0,0.07936507936507936,0.07936507936507936,0.7264093389202315,0.07936507936507936
training_deficit_score,0.5595238095238095,0.6309523809523809,0.0714285714285714,0.2220106296902285,0.0714285714285714
