feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
willingness_constraint_score,-0.6142049256141439,0.4735344835585521,0.43222737506065384,-0.18453731073001622,0.01350257454956789,0.1048944330623956,0.3844153604493407,0.07176100151419404,-0.02817834074219685,0.009331203590681403,-0.13572415887502223,0.06671618446288206,-0.04774641677921741
digital_usage_constraint_score,0.7847205364305219,0.39209752008060944,0.1352590449727868,0.16135672360881545,0.10873582994234793,-0.11641721520256539,0.10634364456037679,-0.26430872172236747,0.2925891736394584,0.06720684071266976,-0.03150263013312611,-0.006390116340766138,-0.030647346747964387
training_deficit_score,-0.5295202034746374,0.29090717600691013,0.5788836096644828,0.33164293622533386,-0.3942500845995185,-0.07219417084919351,-0.17111309771279715,0.010645112096729246,-0.005214803143084006,-0.05080732374908006,-0.08029116367944339,-0.05374177919057252,-0.020162641886353742
device_constraint,0.82925556648039,0.4032866482375959,0.19409762616360585,0.0722773427603832,0.111417898344222,-0.16709371186052463,0.12236488092029646,0.021001313793646382,-0.09982442654033649,-0.15805930899399204,-0.028188027456757508,-0.009177481066449358,0.16650001151010438
digital_tool_variety_constraint,0.8724054486415428,0.30157570914674103,0.10662185506860193,0.09799993477229758,0.0030239714139701753,-0.2207564957625462,-0.11735384960316259,0.07985916207038886,-0.15618733294564707,0.11150430246357058,0.017089869585816826,0.17014593657396337,-0.06728473241498491
internet_stability_constraint,0.8159441915390326,0.31153667372105487,0.08914744219972115,-0.2151194894243398,-0.13469895534833068,0.15877946108103985,-0.012449467970068538,-0.3127146686614538,-0.20786660831455034,-0.02521657746891556,0.02000443279094699,-0.07852183743656,-0.061203578658096176
staffing_constraint_score,-0.34620837810337945,0.6272352596992352,-0.46666429719107216,0.422972132697188,0.13226068003914984,0.22991935580436715,0.09348610761115783,-0.014740476566904297,-0.06163973047308928,-0.10359874752300843,0.07215058749016334,0.026920113698293172,-0.052530070705856455
time_constraint_score,-0.41686902424873057,0.6826229995462176,-0.5379659926928959,0.01390798935422811,-0.06443692955300637,-0.050376726434890814,-0.01918739269783907,-0.016668329973999235,-0.07296447385870417,0.2216794933464833,-0.1038842909415532,-0.06369581873936084,0.08058894766771711
administrative_disorganization_constraint,-0.5097767239773067,0.5389911509302995,0.34212694596634086,-0.12704255695429167,0.45357743994004446,0.04497113081320118,-0.34228687762258025,-0.002916837846331422,0.0029902278039809936,-0.02709395329553364,-0.049657223708472524,-0.023168941167348266,-0.016006181383686445
recording_system_constraint,0.8370672287104659,0.3746932129429438,0.09289527566400381,-0.020034120290888375,0.031418478490121596,-0.016040786816513462,0.07769932333380127,0.34485272357565555,0.03224811602872969,0.04056280275895291,0.07133073707885317,-0.15352796587512213,-0.06959415799851237
system_change_resistance_constraint,-0.735368324951008,0.44343386238642,0.4227629803364629,-0.06583528294667966,-0.057892136108660536,-0.01911283903040017,0.05781679207082418,-0.0623180223735322,0.013286932285368279,0.089937002253134,0.2618160750068493,0.018356138017779865,0.06280195099264729
admin_time_load_constraint,-0.36684080770543576,0.6433163938307639,-0.4726042229556547,-0.289389498017041,-0.18536812403574038,-0.28580549203456884,-0.05174623221008889,0.010260068639005773,0.09534750130464434,-0.16004986512593433,0.024367640303918258,0.02553742024172577,-0.04678351004370641
resource_constraint_score,0.7435080245771947,0.41748449944348304,-0.01682141634255744,-0.11377251613111919,-0.21202633916272584,0.3970402818025876,-0.1593930536618377,0.10884537931722187,0.14323809295634873,-0.004489527320919674,-0.014651661379174523,0.08488713560953036,0.06609042676281279
