feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
willingness_constraint_score,-0.2535033826906285,0.27863006409614943,0.33829342652198907,-0.25399810415084834,0.018925235201211844,0.16014809884912423,0.6227885687527963,0.12786073760261887,-0.06239484499776891,0.024831108186528242,-0.3913868941124096,0.23637420195640715,-0.1880375772939152
digital_usage_constraint_score,0.3238810080414649,0.23071214651782115,0.10586383101143193,0.22209222474577434,0.1524043543624622,-0.17774056395261684,0.17228657594300545,-0.47093417596105847,0.6478754836661123,0.17884298808758597,-0.09084393424408477,-0.0226400634661226,-0.12069707470660232
training_deficit_score,-0.21855110108345133,0.17117124076733212,0.45307754938783007,0.45647504411450085,-0.5525816985311391,-0.11022281041940317,-0.27721910252192966,0.01896701350079602,-0.011547054412588437,-0.13520251063231226,-0.23153511826958678,-0.19040612514279065,-0.07940563057718351
device_constraint,0.34226213833699565,0.23729588561984516,0.1519152992691776,0.09948290652754307,0.1561635467405431,-0.2551111579790757,0.19824246607856505,0.03741925858920112,-0.22103961613496598,-0.42060895610907023,-0.08128563557807378,-0.032515644899610785,0.6557195470508391
digital_tool_variety_constraint,0.3600715707175919,0.1774486591513629,0.08345022729813603,0.13488761454580778,0.004238404316231542,-0.33704108094980256,-0.19012413017667668,0.14228969985358048,-0.3458430898723957,0.2967222149671371,0.04928194827965836,0.6028238919474125,-0.26498445172727997
internet_stability_constraint,0.3367680785612242,0.18330974064419014,0.06977344663369045,-0.29609157228708455,-0.1887943222950967,0.24241733413336883,-0.020169293780950587,-0.5571818585377935,-0.4602756750178738,-0.06710340816590074,0.05768665566561907,-0.27820141109154506,-0.24103531592333682
staffing_constraint_score,-0.14289204027025107,0.3690683713253865,-0.3652463338540046,0.5821810201347641,0.1853768307980376,0.3510305232193018,0.15145617253526877,-0.026263961855182733,-0.1364878600823114,-0.2756848763113092,0.20806019046442278,0.09537746265375843,-0.20687682755927247
time_constraint_score,-0.17205610599805535,0.40165879512669206,-0.4210523662339634,0.019143028120163885,-0.09031492793895295,-0.07691291834325618,-0.031085357313550457,-0.02969893006102814,-0.16156405653580994,0.5899075535677311,-0.2995704693673886,-0.22567310231676843,0.31737984750092535
administrative_disorganization_constraint,-0.2104022917367144,0.3171450953315783,0.26777410116658007,-0.1748620291756401,0.6357350371454596,0.06865989826691149,-0.5545365158360334,-0.0051970991294680025,0.006621213152484123,-0.07209926125221436,-0.14319622032360882,-0.08208712807390535,-0.06303642811632781
recording_system_constraint,0.3454862785501025,0.22047136494501046,0.07270678102623798,-0.027575066267550144,0.04403620160784781,-0.024490351277084807,0.1258801165373719,0.6144440945676309,0.07140648271278541,0.1079409889483308,0.2056959930453403,-0.5439467305255247,-0.2740795591921005
system_change_resistance_constraint,-0.3035116621903057,0.260918707695031,0.33088588432095684,-0.09061602224796787,-0.08114173249960185,-0.029180622316793345,0.09366857021940411,-0.1110356340977249,0.029421039656885473,0.23932983684439413,0.7549973510610613,0.06503545593750738,0.24733011418625972
admin_time_load_constraint,-0.15140774973320867,0.3785305912679234,-0.3698953634068063,-0.3983171943208454,-0.259812329367666,-0.43635496044626215,-0.08383369972209542,0.018280959244657356,0.2111264328605049,-0.4259059913932406,0.07026880943267425,0.09047860542776852,-0.18424540477251475
resource_constraint_score,0.30687119465784607,0.24564997244747272,-0.013165696811031906,-0.15659707669661857,-0.2971765364283742,0.6061832305188377,-0.25823154320149855,0.1939361239458745,0.3171697968150349,-0.011947005284876654,-0.042250902774518456,0.3007535442502921,0.26028097120388655
