iteration,permuted_ari,permuted_nmi
1,-2.185123678000175e-05,0.03376119102789707
2,-0.0637400576872651,0.02257711911617959
3,-0.06020015732890482,0.027488396528278405
4,0.04009701949130321,0.019476823953184143
5,-0.011821519097980945,0.047050008069855834
6,-0.02362118695918189,0.020818266115085225
7,-0.030700987675902455,0.06001988572635607
8,-0.015361419456341228,0.06011659544544622
9,-0.017721353028581417,0.018280218350304297
10,-0.0012018180229000962,0.021558514744455123
11,-0.0637400576872651,0.02257711911617959
12,0.0424569530635434,0.04585442705383744
13,0.08021589021938642,0.03314949003641033
14,-0.02362118695918189,0.020818266115085225
15,-0.07671969233458614,0.05986481418176755
16,0.04717682020802377,0.011878200874216415
17,0.08729569093610698,0.07419006443777662
18,-0.0637400576872651,0.02257711911617959
19,-0.0012018180229000962,0.021558514744455123
20,-0.08969932698190718,0.05303339247585811
21,0.07903592343326632,0.034823626709042814
22,0.023577484485621886,0.04479329533758319
23,0.07549602307490604,0.04789021408463321
24,0.051896687352504155,0.04822765670115532
25,0.00587798269382047,0.013959891665487395
26,0.09909535879730792,0.05892231839431933
27,-0.06020015732890482,0.027488396528278405
28,-0.11211869591818897,0.06596311576007431
29,-0.055480290184424436,0.044350669012358644
30,0.004698015907700376,0.019020466979674192
31,0.004698015907700376,0.019020466979674192
32,-0.02362118695918189,0.020818266115085225
33,-0.054300323398304345,0.024950348763497478
34,-0.0012018180229000962,0.021558514744455123
35,0.07549602307490604,0.04789021408463321
36,-0.033060921248142645,0.018445036467767337
37,-0.02362118695918189,0.020818266115085225
38,0.04717682020802377,0.011878200874216415
39,-0.02598112053142208,0.045279161678133194
40,0.00587798269382047,0.013959891665487395
41,-0.07671969233458614,0.05986481418176755
42,-0.027161087317542174,0.03388485349067562
43,0.0412769862774233,0.031679500236626086
44,-0.009461585525740756,0.07804822985941466
45,-0.03424088803426274,0.023505611781954136
46,0.03655711913294293,0.03254341132877454
47,-0.027161087317542174,0.01590698870298641
48,0.04009701949130321,0.019476823953184143
49,0.08021589021938642,0.03314949003641033
50,-0.054300323398304345,0.024950348763497478
51,0.00587798269382047,0.07618459629946135
52,-0.027161087317542174,0.01590698870298641
53,-0.03424088803426274,0.023505611781954136
54,0.0837557905777467,0.020082902660819937
55,-0.054300323398304345,0.024950348763497478
56,0.0424569530635434,0.04585442705383744
57,-0.03424088803426274,0.023505611781954136
58,-0.062560090901145,0.05194929209132637
59,0.002338082335460187,0.02702647904107779
60,-0.02598112053142208,0.045279161678133194
61,0.051896687352504155,0.04822765670115532
62,0.00587798269382047,0.013959891665487395
63,-0.0637400576872651,0.02257711911617959
64,0.010597849838300848,0.050309347492426305
65,0.014137750196661131,0.0424200656902653
66,-0.03424088803426274,0.023505611781954136
67,0.04009701949130321,0.019476823953184143
68,0.004698015907700376,0.019020466979674192
69,0.03537715234682283,0.03421754800140702
70,-0.08261952626518661,0.062402861946548475
71,-0.08261952626518661,0.062402861946548475
72,0.011777816624420942,0.011421843900706467
73,-0.062560090901145,0.05194929209132637
74,0.011777816624420942,0.029399708688395677
75,-0.033060921248142645,0.018445036467767337
76,0.04363691984966349,0.02494478824980681
77,0.12269469451970981,0.05915070789821623
78,-0.055480290184424436,0.044350669012358644
79,-0.0637400576872651,0.02257711911617959
80,0.04953675378026396,0.053453050132805144
81,-0.06020015732890482,0.027488396528278405
82,-0.054300323398304345,0.024950348763497478
83,0.004698015907700376,0.019020466979674192
84,0.025937418057862077,0.08662967243272511
85,-0.0012018180229000962,0.021558514744455123
86,-0.06020015732890482,0.027488396528278405
87,0.12505462809195,0.038500852522831
88,0.004698015907700376,0.019020466979674192
89,0.029477318416222358,0.07356308505713473
90,-0.03424088803426274,0.023505611781954136
91,-0.027161087317542174,0.01590698870298641
92,-0.02362118695918189,0.020818266115085225
93,0.03537715234682283,0.03421754800140702
94,-0.0012018180229000962,0.021558514744455123
95,0.053076654138624245,0.027318017897124697
96,-0.054300323398304345,0.024950348763497478
97,0.00587798269382047,0.013959891665487395
98,-0.02362118695918189,0.020818266115085225
99,0.13331439559479066,0.07786729025156482
100,0.09555545843894764,0.08505735062999978
101,0.053076654138624245,0.027318017897124697
102,-0.0637400576872651,0.02257711911617959
103,-0.08261952626518661,0.062402861946548475
