permutation_index,cramers_v
1,0.0
2,0.0
3,0.0
4,0.0
5,0.22804130083332982
6,0.0
7,0.0
8,0.0
9,0.1407728093670959
10,0.0
11,0.18114615517118302
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.21189589002687026
19,0.2639563556274243
20,0.2491066112165542
21,0.0
22,0.0
23,0.0
24,0.0
25,0.15661071577921537
26,0.15661071577921537
27,0.1475608516721421
28,0.061105675016998644
29,0.0
30,0.0
31,0.1642569154763669
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.28038601251281825
40,0.0
41,0.15661071577921537
42,0.19009562969998933
43,0.0
44,0.10605537340253147
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.27968991226581336
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.06338331485977905
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.2003039587229232
70,0.0
71,0.20237723895650866
72,0.0
73,0.0
74,0.0
75,0.1407728093670959
76,0.22769853919576458
77,0.0
78,0.0
79,0.0
80,0.2269970066611847
81,0.0
82,0.0
83,0.0
84,0.053254327730886744
85,0.29532534975380487
86,0.1441453193272267
87,0.0
88,0.0
89,0.0
90,0.20623233279092462
91,0.0
92,0.05940642934892269
93,0.0
94,0.0
95,0.0
96,0.0
97,0.029175946235774297
98,0.0
99,0.11039164697106156
100,0.0
101,0.0
102,0.08137457809792756
103,0.18831605974564336
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.1441453193272267
112,0.0
113,0.1409545273303712
114,0.0
115,0.0
116,0.14931185574376798
117,0.0
118,0.25198821990811754
119,0.0
120,0.0
121,0.0
122,0.16364440925713794
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.13091636967113396
130,0.0
131,0.0
132,0.0
133,0.22832031410983994
134,0.0
135,0.20237723895650866
136,0.0
137,0.18831605974564336
138,0.0
139,0.15661071577921537
140,0.0
141,0.15161507409082922
142,0.13560522452636428
143,0.0
144,0.0
145,0.0
146,0.0783836891680611
147,0.0
148,0.1491403209994674
149,0.19671656517034172
150,0.10605537340253147
151,0.0
152,0.0
153,0.0
154,0.19495366620532859
155,0.0
156,0.0
157,0.22369409993482398
158,0.0
159,0.2344781786451163
160,0.0
161,0.18616376278683447
162,0.0
163,0.0
164,0.0
165,0.0
166,0.25932047004699005
167,0.0
168,0.0
169,0.18149004133108754
170,0.0
171,0.0
172,0.0
173,0.3083463168718485
174,0.0
175,0.2003039587229232
176,0.13560522452636428
177,0.0
178,0.12391589835548054
179,0.13560522452636428
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.3304075974186084
187,0.0
188,0.2515841727759676
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
