institution_id,latent_profile,true_profile,true_boundary,mixture_weight_on_B,oracle_reachable
SYN_S2_CORE_BOUNDARY_R000_008,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_025,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_041,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_020,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_059,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_052,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_013,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_074,B,1,True,0.5933589200577511,False
SYN_S2_CORE_BOUNDARY_R000_003,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_007,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_049,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_012,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_077,B,1,True,0.6172616574269303,False
SYN_S2_CORE_BOUNDARY_R000_071,B,1,True,0.5054243155147025,False
SYN_S2_CORE_BOUNDARY_R000_062,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_066,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_053,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_063,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_076,B,1,True,0.5098429788241488,False
SYN_S2_CORE_BOUNDARY_R000_070,B,1,True,0.5318274763962173,False
SYN_S2_CORE_BOUNDARY_R000_016,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_058,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_027,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_005,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_026,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_048,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_075,B,1,True,0.5226321219284895,False
SYN_S2_CORE_BOUNDARY_R000_014,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_079,B,1,True,0.6310405049392306,False
SYN_S2_CORE_BOUNDARY_R000_006,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_068,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_017,A,2,False,0.0,False
SYN_S2_CORE_BOUNDARY_R000_037,A,2,True,0.48315510987728494,False
SYN_S2_CORE_BOUNDARY_R000_055,B,1,False,1.0,False
SYN_S2_CORE_BOUNDARY_R000_035,A,2,True,0.36153625079591234,False
