institution_id,willingness_constraint_score,digital_usage_constraint_score,training_deficit_score,device_constraint,digital_tool_variety_constraint,internet_stability_constraint,staffing_constraint_score,time_constraint_score,administrative_disorganization_constraint,recording_system_constraint,system_change_resistance_constraint,admin_time_load_constraint,resource_constraint_score
SYN_S5_GOVERNANCE_CONFOUNDED_R002_061,0.48607926751672065,0.3747061714612867,0.43016614258524455,0.339543864001279,0.4836195567166267,0.3600163846137666,0.6372279795973099,0.6348097534703546,0.7250217366475934,0.6563569849084195,0.4862339776155813,0.47018638797989587,0.33057938553228666
SYN_S5_GOVERNANCE_CONFOUNDED_R002_056,0.7387751535333182,0.6738596624294765,0.6227716576334645,0.5094517626856835,0.3142675763066217,0.4983353875286402,0.4503981806404723,0.44304959557933316,0.3521465537702576,0.4089367421911977,0.42452105666943596,0.5148639570115321,0.615514369860626
SYN_S5_GOVERNANCE_CONFOUNDED_R002_006,0.44820729325013753,0.31166433597828724,0.3239215738232627,0.40450771209349434,0.43729731446650244,0.5300701070525439,0.4111091502031173,0.5147319041928549,0.3904752264471211,0.5239901400661455,0.6803571801026813,0.7760410847718047,0.6885928490014409
SYN_S5_GOVERNANCE_CONFOUNDED_R002_004,0.5603567553995654,0.5972436231554623,0.5031109469147543,0.7134555997063925,0.7268914482222736,0.8027400060435347,0.5979654063574513,0.5020661559249768,0.37107472700846755,0.35216455185156087,0.4474396727259962,0.4301850459087322,0.45101524648029745
SYN_S5_GOVERNANCE_CONFOUNDED_R002_014,0.7337847664776852,0.5982370746377103,0.7844675369974566,0.32906087488674474,0.33864991021913604,0.5213600002501589,0.3802368722520521,0.3815057232708417,0.5395991260966615,0.43834474747031815,0.40260451430451816,0.48940655738998956,0.46711182119435773
SYN_S5_GOVERNANCE_CONFOUNDED_R002_040,0.7284105570351342,0.6794211482088511,0.7418024112197155,0.42843639016859075,0.4370095043371921,0.4162479546215772,0.42264554639808993,0.5872349652832125,0.5747636323306293,0.3559580082361652,0.4451490970672219,0.47354528664802437,0.40352952539590564
SYN_S5_GOVERNANCE_CONFOUNDED_R002_030,0.4328390335703112,0.31428741787179465,0.597449202825221,0.6840474558579334,0.7561310606958755,0.7489912742772695,0.3611528582816546,0.4141365530339733,0.5215060741191176,0.46721778984904183,0.45535084098534695,0.5533011030692816,0.386675286248634
SYN_S5_GOVERNANCE_CONFOUNDED_R002_028,0.7239149081824772,0.5800603287711436,0.7063250983325619,0.4989091341540792,0.5971340582396706,0.44151888841493686,0.5733944520941061,0.5772759306099664,0.40318824956062566,0.3533881510872362,0.39359403739480664,0.4139140988194553,0.47701432152518397
SYN_S5_GOVERNANCE_CONFOUNDED_R002_050,0.45251738012544696,0.48620176532195025,0.37034401090328417,0.3543342270510401,0.35372034768268634,0.374162556948963,0.5368943639659659,0.7689498356744535,0.5518131652821562,0.6439530848362114,0.36994827094605953,0.4733800265167407,0.46323161433306603
SYN_S5_GOVERNANCE_CONFOUNDED_R002_020,0.5808800258284407,0.5689837513409111,0.7230843593360334,0.45228785296595003,0.505860775644823,0.34891700718108015,0.4379129821994335,0.5180309411204694,0.35361905834178775,0.559912510698185,0.37927970189036153,0.4051010802286549,0.3525689342124084
SYN_S5_GOVERNANCE_CONFOUNDED_R002_053,0.38847924272001494,0.5444845271327782,0.5060866923237033,0.3824442800154341,0.4802527898272746,0.44088433863410875,0.3095505795426304,0.48671330900610843,0.4722992738081843,0.4040234597620537,0.5779821392734938,0.7008529711353295,0.6332960043179671
SYN_S5_GOVERNANCE_CONFOUNDED_R002_074,0.44055209224208086,0.5977408521183429,0.6150972016290257,0.506713306188021,0.5995485175718491,0.47323655997672864,0.41174245221338474,0.33319655287621924,0.3259842160057522,0.429023098410337,0.3405304907571063,0.38902391268978764,0.5141752212919922
SYN_S5_GOVERNANCE_CONFOUNDED_R002_009,0.39000030381622536,0.3140903142303195,0.4235692706295745,0.9112309530834286,0.7110134278943937,0.8075657681922792,0.6222881892714794,0.5371436499831111,0.3021104489619198,0.6282254461238921,0.45558973478010056,0.5763814029155852,0.4681480370381691
SYN_S5_GOVERNANCE_CONFOUNDED_R002_062,0.5242763617967268,0.3876616660110948,0.3585372991012771,0.7643458521628098,0.7208120537576778,0.5463249105022334,0.5191745295779615,0.5192742065744962,0.4284704198614176,0.5609958355498936,0.4021398208942596,0.3936060875764421,0.3683806404702306
SYN_S5_GOVERNANCE_CONFOUNDED_R002_051,0.3686896099068768,0.30348605249726607,0.44945648700928575,0.5321791126942867,0.46282117085070973,0.3441358748207208,0.7946251959828341,0.6598503679112749,0.6547787537415175,0.6927088211643927,0.4240270451680489,0.36776275827634947,0.27610877654886334
SYN_S5_GOVERNANCE_CONFOUNDED_R002_007,0.32944047350027356,0.46847997043013107,0.5797264105259861,0.5001764257275468,0.3408403649727923,0.2732478647758322,0.3715622908630675,0.4047056442502658,0.5208427951057673,0.4623387602314076,0.772430897145016,0.49643925998025634,0.7441357396771016
SYN_S5_GOVERNANCE_CONFOUNDED_R002_031,0.44702361824051673,0.3846141222286896,0.3753739189248056,0.4867617823902951,0.53453791983221,0.31808999695482465,0.728151266748493,0.685176470030083,0.8008290030257024,0.6724198694027989,0.43878917945172524,0.4828056459306037,0.4043262580121375
SYN_S5_GOVERNANCE_CONFOUNDED_R002_063,0.3879672901827093,0.45227914234292954,0.42746464813752216,0.7412802710877198,0.6843114121627695,0.689735902510369,0.5313331816364817,0.5138120437787705,0.5181479222463193,0.4758817560120301,0.5929319793002685,0.46801516970953444,0.38601341602189854
SYN_S5_GOVERNANCE_CONFOUNDED_R002_067,0.4354910591333667,0.5602885322195237,0.350752277872874,0.5070405531057457,0.37646498105939574,0.4886461752278551,0.4595047546874416,0.33041154555181773,0.4088773875887822,0.4489360309424344,0.6570793652609748,0.6798786539488444,0.6312353032983515
SYN_S5_GOVERNANCE_CONFOUNDED_R002_059,0.7220856550207347,0.8114979993687543,0.8313712424265056,0.4402438752204195,0.3830651398274073,0.5144852302693368,0.4708897925918611,0.4444215510877196,0.37411808520510964,0.4452445931958653,0.3610914325619954,0.5571229150531473,0.46306888408100755
SYN_S5_GOVERNANCE_CONFOUNDED_R002_017,0.5052838272504696,0.42631933610407907,0.4543571564574593,0.3318959321224826,0.42386443596846746,0.4837317264736963,0.675782126650022,0.6827283711957262,0.5975674144976634,0.7871057898154032,0.42359297900810294,0.4278251773738059,0.3680607363373656
SYN_S5_GOVERNANCE_CONFOUNDED_R002_078,0.4614978664146471,0.4470234532696211,0.4485109302148376,0.3343110536270702,0.49402736993699164,0.4321114556087081,0.36948131993713146,0.32647811869743654,0.30742864271932746,0.40818386684026603,0.6224317787327914,0.6447497973001515,0.6057294337652119
SYN_S5_GOVERNANCE_CONFOUNDED_R002_001,0.4958254043091844,0.4501766202982667,0.435129873637053,0.5337412048172382,0.4469825353918649,0.5359664015814501,0.45079509076439206,0.5126560339658313,0.3230232158676619,0.5573355667847761,0.5814386216964088,0.7261819353625504,0.7242399780169627
SYN_S5_GOVERNANCE_CONFOUNDED_R002_032,0.34680179597486827,0.4366301012975733,0.3517490728551267,0.6169241477873597,0.6322770038419052,0.6294816938782799,0.5017260485179246,0.5475180201040388,0.42337380707337346,0.43960031780045006,0.4353665095832623,0.5013724684919254,0.3939766153230717
SYN_S5_GOVERNANCE_CONFOUNDED_R002_075,0.4903370769663838,0.47242989544621516,0.47356853377700925,0.44667786376744073,0.5484807266775753,0.44871815995925607,0.3773332668863242,0.5893414088876658,0.3381990267563749,0.5229791450489236,0.676181661990143,0.7102497935998303,0.8059249889220418
SYN_S5_GOVERNANCE_CONFOUNDED_R002_023,0.3942986519170504,0.46166151130379857,0.30134592987856207,0.705887496318929,0.6471777450413918,0.7414888349116449,0.419836447464308,0.41222859429062286,0.498514044480839,0.40967442070241283,0.32033097417544554,0.42618262597355383,0.5402626486174235
SYN_S5_GOVERNANCE_CONFOUNDED_R002_069,0.4463171559764228,0.441143749081374,0.5317593680128084,0.7639218559504422,0.6972691004152071,0.6480236042908905,0.5712829987048885,0.4102405097162228,0.468468010940268,0.3344362191786425,0.3391870025938451,0.42013036939388976,0.4194171659067788
SYN_S5_GOVERNANCE_CONFOUNDED_R002_008,0.7564975197720181,0.761284462014243,0.6469623520922196,0.2699597551438573,0.4248751165190702,0.514178407410119,0.4851072019517638,0.4289130676380859,0.5200095375686201,0.4654677271474416,0.2935105973208916,0.37478638661692154,0.5428223799744003
