institution_id,ICI,ICI_current_code,ICI_paper,OCI,OCI_current_code,OCI_paper,OLI,OLI_current_code,OLI_paper,HCARI,HCARI_current_code,HCARI_paper,AFS_theoretical,AFS_current_code,AFS_paper,archetype_current_code,archetype_paper_rule,archetype_saved
INST_001,1.0,1.0,1.0,0.25,0.25,0.08333333333333333,0.75,0.75,0.08333333333333333,0.25,0.25,0.5,0.5375000000000001,0.5375000000000001,0.42083333333333334,Infrastructure-Limited,Infrastructure-Limited,Infrastructure-Limited
INST_002,0.3833333333333333,0.3833333333333333,0.475,0.5625,0.5625,0.6666666666666666,0.25,0.25,0.8333333333333334,0.4642857142857143,0.4642857142857143,0.3333333333333333,0.4306547619047618,0.4306547619047618,0.6008333333333333,Organizationally-Limited,Multi-Constraint,Organizationally-Limited
INST_003,0.5055555555555555,0.5055555555555555,0.5041666666666667,0.7291666666666666,0.7291666666666666,0.6666666666666666,0.8055555555555555,0.8055555555555555,0.8055555555555555,0.6190476190476192,0.6190476190476192,0.6388888888888888,0.6610119047619047,0.6610119047619047,0.6484722222222221,Multi-Constraint,Multi-Constraint,Multi-Constraint
INST_004,0.3277777777777778,0.3277777777777778,0.37083333333333335,0.7083333333333333,0.7083333333333333,0.75,0.4722222222222221,0.47222222222222215,0.9166666666666666,0.6190476190476192,0.6190476190476192,0.6388888888888888,0.5436507936507936,0.5436507936507936,0.66125,Organizationally-Limited,Multi-Constraint,Organizationally-Limited
INST_005,0.3944444444444444,0.3944444444444444,0.4208333333333333,0.6666666666666666,0.6666666666666666,0.5,0.7222222222222222,0.7222222222222222,0.9166666666666666,0.4642857142857143,0.4642857142857143,0.5555555555555555,0.5591269841269841,0.5591269841269841,0.5887499999999999,Operationally-Limited,Multi-Constraint,Operationally-Limited
INST_006,0.3277777777777778,0.3277777777777778,0.30833333333333335,0.8333333333333333,0.8333333333333333,1.0,0.4444444444444444,0.4444444444444444,0.75,0.6071428571428571,0.6071428571428571,0.6944444444444443,0.5726190476190476,0.5726190476190476,0.6841666666666666,Organizationally-Limited,Organizationally-Limited,Organizationally-Limited
INST_007,0.4111111111111111,0.41111111111111115,0.5583333333333333,0.5625,0.5625,0.625,0.8333333333333333,0.8333333333333333,0.5277777777777778,0.4285714285714285,0.42857142857142855,0.47222222222222215,0.5453373015873015,0.5453373015873015,0.5577777777777777,Operationally-Limited,Operationally-Limited,Operationally-Limited
INST_008,0.1333333333333333,0.13333333333333333,0.1,0.4166666666666666,0.41666666666666663,0.4166666666666667,0.0833333333333333,0.08333333333333333,0.27777777777777773,0.2142857142857142,0.21428571428571427,0.3333333333333333,0.2285714285714285,0.22857142857142856,0.27444444444444444,Organizationally-Limited,Organizationally-Limited,Organizationally-Limited
INST_009,0.2333333333333333,0.2333333333333333,0.3,0.4166666666666666,0.41666666666666663,0.5,0.1666666666666666,0.16666666666666666,0.25,0.25,0.25,0.16666666666666666,0.2791666666666667,0.2791666666666667,0.3275,Organizationally-Limited,Organizationally-Limited,Organizationally-Limited
INST_010,0.2833333333333333,0.2833333333333333,0.4,0.5833333333333333,0.5833333333333333,0.5,0.5,0.5,0.75,0.4285714285714285,0.42857142857142855,0.3333333333333333,0.4529761904761905,0.4529761904761905,0.5075000000000001,Organizationally-Limited,Multi-Constraint,Organizationally-Limited
